MSW05_Order,MSW05_Family,MSW05_Genus,MSW05_Species,MSW05_Binomial,Name,States,Image,Description,1-1_ActivityCycle,5-1_AdultBodyMass_g,8-1_AdultForearmLen_mm,13-1_AdultHeadBodyLen_mm,2-1_AgeatEyeOpening_d,3-1_AgeatFirstBirth_d,18-1_BasalMetRate_mLO2hr,5-2_BasalMetRateMass_g,6-1_DietBreadth,7-1_DispersalAge_d,9-1_GestationLen_d,12-1_HabitatBreadth,22-1_HomeRange_km2,22-2_HomeRange_Indiv_km2,14-1_InterbirthInterval_d,15-1_LitterSize,16-1_LittersPerYear,17-1_MaxLongevity_m,5-3_NeonateBodyMass_g,13-2_NeonateHeadBodyLen_mm,21-1_PopulationDensity_n/km2,10-1_PopulationGrpSize,23-1_SexualMaturityAge_d,10-2_SocialGrpSize,24-1_TeatNumber,12-2_Terrestriality,6-2_TrophicLevel,25-1_WeaningAge_d,5-4_WeaningBodyMass_g,13-3_WeaningHeadBodyLen_mm,References,5-5_AdultBodyMass_g_EXT,16-2_LittersPerYear_EXT,5-6_NeonateBodyMass_g_EXT,5-7_WeaningBodyMass_g_EXT,26-1_GR_Area_km2,GR_MaxLat_dd,GR_MinLat_dd,26-4_GR_MidRangeLat_dd,GR_MaxLong_dd,GR_MinLong_dd,26-7_GR_MidRangeLong_dd,27-1_HuPopDen_Min_n/km2,27-2_HuPopDen_Mean_n/km2,27-3_HuPopDen_5p_n/km2,27-4_HuPopDen_Change,28-1_Precip_Mean_mm,28-2_Temp_Mean_01degC,30-1_AET_Mean_mm,30-2_PET_Mean_mm
Artiodactyla,Cervidae,Rangifer,tarandus,Rangifer tarandus,Reindeer,Alaska,Reindeer.jpg,,-999,109088.5,-999,2224.35,-999,-999,-999,-999,3,-999,222.5,-999,2771.22,2599.89,365,2,-999,242.4,5490.62,-999,2.55,100000,758.71,-999,-999,-999,1,136.87,24907.05,-999,511;543;653;730;764;1015;1297;1404;1573;1763;2512;2525;2655;2718;2986;3009;3010,-999,1.1,-999,-999,18376464.07,83.62,45.55,64.59,177.44,-168.12,4.65,0,1.07,0,-0.04,29.21,-90.47,236.86,260.98
Lagomorpha,Ochotonidae,Ochotona,princeps,Ochotona princeps,American pika,"California,Colorado,Idaho,Montana,Nevada,New Mexico,Oregon,Utah,Washington,Wyoming",American_pika.jpg,,3,157.63,-999,190,7,-999,166.77,109,2,-999,30.44,1,1.11E-03,1.37E-03,30.41,2.88,2,84,11,-999,774.59,1,374.39,-999,-999,1,1,26.45,88.49,-999,466;543;730;1004;1015;1297;1494;1573;1822;1849;1879;2314;2338;2586;2620;2646;2647;2648;2655,-999,-999,-999,-999,1346175.96,54.58,35.26,44.92,-103.58,-127.78,-115.68,0,10.06,0,0.1,39.59,43.58,374.48,769.08
Lagomorpha,Leporidae,Lepus,americanus,Lepus americanus,Snowshoe hare,"Alaska,California,Colorado,Connecticut,Idaho,Maine,Massachusetts,Michigan,Minnesota,Montana,Nevada,New Hampshire,New Mexico,New York,North Carolina,North Dakota,Oregon,Pennsylvania,Rhode Island,South Dakota,Tennessee,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming",Snowshoe_hare.png,,1,1568.42,-999,424.49,0,365,1250.24,1562.8,3,-999,36.57,-999,0.04,0.05,37,3.54,2.5,96,67.84,153.7,100,-999,210.95,-999,-999,-999,1,22.98,440.9,-999,42;95;362;409;410;543;730;811;816;989;1004;1110;1237;1297;1573;1822;1849;2124;2160;2314;2655,-999,-999,-999,-999,9501181.22,68.59,35.47,52.03,-52.63,-168.12,-110.38,0,10.61,0,0.04,48.45,-12.64,358.45,444.39
Carnivora,Ursidae,Ursus,arctos,Ursus arctos,Brown Bear,"Alaska,Wyoming,Montana,Idaho",Brown_Bear.jpg,,2,196287.5,-999,1484.07,31.82,1460,20790.6,162428.57,6,912.49,227.56,1,310.81,333.82,912.5,2.24,-999,600,499.99,-999,0.02,-999,1327.95,-999,-999,1,2,182.5,26000,-999,367;542;543;730;1113;1297;1573;2338;2620;2655,-999,0.69,-999,-999,23972321.42,72.38,29.14,50.76,179.99,-168.12,5.93,0,14.85,0,4.33E-03,35.01,-46.56,292.87,408.25
Carnivora,Felidae,Lynx,canadensis,Lynx canadensis,Canadian lynx," Idaho,Maine,Minnesota,Montana,Washington,Wyoming",Canadian_lynx.jpg,,1,9682.82,-999,702.3,14,-999,-999,-999,1,-999,62.5,1,30.6,32.79,365,2.73,-999,321,204,-999,0.05,-999,672.9,-999,-999,1,3,111.36,-999,-999,542;730;1113;1297;1573;2655,-999,1.1,-999,-999,8252985.31,70.56,37.09,53.82,-52.63,-162.94,-107.79,0,3.31,0,0.04,43.45,-31.76,322.76,386.88
Carnivora,Mustelidae,Gulo,gulo,Gulo gulo,Wolverine,"Wyoming,Idaho,Montana,Washington,Oregon,California",Wolverine.jpg,,1,12792.49,-999,772.1,27.94,-999,4906.8,11600,1,638.99,161.73,1,343.27,363.58,821.25,2.84,0.5,216,86.02,157.3,7.92E-03,1,756.6,-999,-999,1,3,83.64,-999,-999,367;543;1015;1113;1297;1573;2655;2986,-999,-999,-999,-999,24495951.71,83.11,38.24,60.67,179.99,-168.12,5.93,0,3.75,0,-0.02,32.21,-72.05,259.17,291.78
Rodentia,Castoridae,Castor,canadensis,Castor canadensis,American Beaver,"Florida,Washington,Idaho,Wyoming,Oregon,Nevada",American_Beaver.jpg,,2,18124.41,-999,754.74,0.5,-999,-999,-999,3,729.99,111.59,3,0.06,0.05,-999,3.6,1,180,415.17,-999,0.6,-999,663.02,5.1,4,1,1,46.5,-999,-999,457;514;543;1297;1482;1573;1577;1849;2190;2338;2514;2588;2620;2655;2863,-999,-999,-999,-999,15377760.47,69.71,25.44,47.57,-55.61,-166.19,-110.9,0,19.02,0,0.05,52.36,39.86,465.52,632.25
Carnivora,Felidae,Puma,concolor,Puma concolor,Puma,"Utah,Washington,Idaho",Puma.jpg,,2,53954.05,-999,1396.33,8,623.54,13300.8,51800,1,419.99,92.3,1,129.89,138.87,577.91,2.76,0.75,240,409.87,-999,0.02,-999,1034.61,1,-999,1,3,48.46,3499.99,-999,367;542;543;730;890;1113;1297;1573;2655,-999,-999,-999,-999,22350859.07,59.66,-53.1,3.28,-34.79,-135.36,-85.07,0,23.42,0,0.1,109.2,181.93,968.16,1296.83
Rodentia,Sciuridae,Marmota,flaviventris,Marmota flaviventris,Yellow-bellied Marmot,"California,Colorado,Idaho,Montana,Nevada,New Mexico,Oregon,South Dakota,Utah,Washington,Wyoming",Yellow-bellied_Marmot.jpg,,3,3709.73,-999,411.8,-999,730,1546.2,4295,4,357.43,30.39,2,0.01,0.01,456.25,4.66,1,96,33.79,111,6.9,-999,827.69,-999,10,1,1,25,437.75,-999,32;112;113;114;115;116;730;1014;1215;1297;1573;1822;1849;1977;2117;2249;2338;2533;2620;2655;2767;2971;2974,-999,-999,-999,-999,1718950.48,51.12,34.21,42.67,-100.84,-122.97,-111.9,0,7.19,0,0.08,30.39,59.47,365.04,793.12
Artiodactyla,Cervidae,Odocoileus,hemionus,Odocoileus hemionus,Mule Deer,"Alaska,Arizona,California,Colorado,Hawaiian Is. - Introduced,Idaho,Iowa,Kansas,Montana,Nebraska,Nevada,New Mexico,North Dakota,Oklahoma,Oregon,South Dakota,Texas,Utah,Washington,Wyoming",Mule_Deer.jpg,,-999,84560.57,-999,1516.5,-999,547.5,-999,-999,2,-999,203.49,1,2.01,2.85,365,1.61,-999,264,3007.49,-999,16,-999,527.12,-999,-999,1,1,73.49,23900,-999,89;653;730;1297;1404;1573;1577;1763;2525;2620;2655;2718;2986;3009;3010,-999,1.1,-999,-999,6310738.18,62.28,21.27,41.77,-96.52,-149.44,-122.98,0,14.38,0,0.07,38.76,67.61,389.11,755.2
Carnivora,Canidae,Canis,latrans,Canis latrans,American Jackal,"California,Nevada,Utah,Arizona,Colorado,New Mexico,Alaska,",American_Jackal.jpg,,2,11989.1,-999,872.39,11.94,365,3699,10450,1,255,61.74,1,18.88,19.91,365,5.72,-999,262,200.01,-999,0.25,-999,372.9,-999,8,1,3,43.71,-999,-999,367;542;543;730;1113;1297;1573;1822;2655,-999,1.1,-999,-999,17099094.3,71.39,8.02,39.7,-67.07,-168.12,-117.6,0,27.27,0,0.06,53.03,58.18,503.02,728.37
Carnivora,Ursidae,Ursus,americanus,Ursus americanus,American Black Bear,"California,Arizona,New Mexico,Alaska,Colorado",American_Black_Bear.jpg,,3,110500,-999,1380.87,38.86,1797.62,24365.4,110500,1,483,213.95,1,31.25,34.07,821.25,2.39,-999,384,293.99,-999,0.72,-999,1448.45,-999,-999,1,1,167.99,-999,-999,367;542;543;730;1113;1297;1573;2338;2620;2655,-999,0.73,-999,-999,9650153.48,71.58,23.55,47.57,179.99,-179.99,0,0,11.45,0,0.05,51.94,3.89,392.57,516.74
Artiodactyla,Bovidae,Ovis,canadensis,Ovis canadensis, Mountain Sheep,"Montana,Idaho,Wyoming,Utah,Colorado,New Mexico",Mountain_Sheep.jpg,,2,74644.87,-999,1565.5,-999,301.5,22100,65000,2,-999,177.49,1,18.94,15.96,365,1.16,-999,288,4115.85,-999,1.48,5.5,761.25,-999,2,1,1,130.8,23431.71,-999,543;730;764;1068;1297;1404;1525;1573;1763;1822;1848;2338;2555;2587;2655;2718;2986,-999,1.1,-999,-999,2457850.19,57.15,23.82,40.48,-101.6,-123.9,-112.75,0,7.02,0,0.1,27.23,78.78,367.79,825.62
